"","","5%","95%"
"b[dreuth species:Hermit_Thrush]",0.193113455381848,-0.139812755266912,0.522836121130296
"b[fidino species:Hermit_Thrush]",0.470907980507778,0.0269346322260745,0.918418562742555
"b[(Intercept) species:Hooded_Warbler]",-2.69019269078819,-4.06985671354673,-1.51773059792004
"b[dreuth species:Hooded_Warbler]",0.104641928140199,-1.24147690238669,1.46937649119264
"b[fidino species:Hooded_Warbler]",1.92579343605934,0.573452005027833,3.42657436076789
"b[(Intercept) species:House_Wren]",1.15261724700886,0.251820277186234,2.03412330726198
"b[dreuth species:House_Wren]",-0.0319040862284699,-0.397293111388868,0.344888454163518
"b[fidino species:House_Wren]",-2.04749262988638,-2.91576735858442,-1.17332803188975
"b[(Intercept) species:Indigo_Bunting]",0.904772661297798,0.350897255000663,1.46721757777575
"b[dreuth species:Indigo_Bunting]",0.0550029684105685,-0.312827124991034,0.435183028009277
"b[fidino species:Indigo_Bunting]",-0.142745222182548,-0.756647934513501,0.479766559481541
"b[(Intercept) species:Least_Flycatcher]",1.33325659100937,0.936693575373263,1.71839341651616
"b[dreuth species:Least_Flycatcher]",0.175423879463896,-0.159604885626039,0.513918073407856
"b[fidino species:Least_Flycatcher]",-0.720892080507988,-1.25501265167319,-0.21139493808278
"b[(Intercept) species:LeConte's_Sparrow]",-3.60440455622354,-5.25810834929862,-2.34760960305148
"b[dreuth species:LeConte's_Sparrow]",0.439983901107126,-1.02348824991725,2.01021191616703
"b[fidino species:LeConte's_Sparrow]",1.50316398835175,-0.232413630829169,3.34346465171279
"b[(Intercept) species:Lincoln's_Sparrow]",-0.740926871026797,-1.44792098773969,-0.0809198852714799
"b[dreuth species:Lincoln's_Sparrow]",2.07205729511065,1.53300450610599,2.64199297596318
"b[fidino species:Lincoln's_Sparrow]",1.86702922370888,1.16264293175057,2.59780782748391
"b[(Intercept) species:Louisiana_Waterthrush]",-1.81052432330064,-2.61554161382535,-1.12463667611719
