"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
"+","LAWA",NA,"Lawrence's Warbler","Vermivora cyanoptera x chrysoptera","VERCCH",NA,"lawrences warbler"
NA,"BAWW",NA,"Black-and-white Warbler","Mniotilta varia","MNIVAR",NA,"black and white warbler"
NA,"PROW","*","Prothonotary Warbler","Protonotaria citrea","PROCIT",NA,"prothonotary warbler"
NA,"SWWA",NA,"Swainson's Warbler","Limnothlypis swainsonii","LIMSWA",NA,"swainsons warbler"
NA,"CCWA",NA,"Crescent-chested Warbler","Oreothlypis superciliosa","ORESUP",NA,"crescent chested warbler"
NA,"FTHW","*","Flame-throated Warbler","Oreothlypis gutturalis","OREGUT",NA,"flame throated warbler"
NA,"TEWA",NA,"Tennessee Warbler","Oreothlypis peregrina","OREPER",NA,"tennessee warbler"
NA,"OCWA",NA,"Orange-crowned Warbler","Oreothlypis celata","ORECEL",NA,"orange crowned warbler"
NA,"COLW","*","Colima Warbler","Oreothlypis crissalis","ORECRI",NA,"colima warbler"
NA,"LUWA",NA,"Lucy's Warbler","Oreothlypis luciae","ORELUC",NA,"lucys warbler"
NA,"NAWA",NA,"Nashville Warbler","Oreothlypis ruficapilla","ORERUF",NA,"nashville warbler"
NA,"VIWA",NA,"Virginia's Warbler","Oreothlypis virginiae","OREVIR",NA,"virginias warbler"
NA,"SEMW","*","Semper's Warbler","Leucopeza semperi","LEUSER","*","sempers warbler"
NA,"CONW","*","Connecticut Warbler","Oporornis agilis","OPOAGI",NA,"connecticut warbler"
NA,"GCYE",NA,"Gray-crowned Yellowthroat","Geothlypis poliocephala","GEOPOL",NA,"gray crowned yellowthroat"
NA,"MGWA",NA,"MacGillivray's Warbler","Geothlypis tolmiei","GEOTOL",NA,"macgillivrays warbler"
NA,"MOWA",NA,"Mourning Warbler","Geothlypis philadelphia","GEOPHI",NA,"mourning warbler"
NA,"KEWA",NA,"Kentucky Warbler","Geothlypis formosa","GEOFOR",NA,"kentucky warbler"
NA,"OCYE",NA,"Olive-crowned Yellowthroat","Geothlypis semiflava","GEOSEM",NA,"olive crowned yellowthroat"
NA,"BPYE",NA,"Black-polled Yellowthroat","Geothlypis speciosa","GEOSPE",NA,"black polled yellowthroat"
NA,"BEYE",NA,"Belding's Yellowthroat","Geothlypis beldingi","GEOBEL",NA,"beldings yellowthroat"
NA,"BAYE",NA,"Bahama Yellowthroat","Geothlypis rostrata","GEOROS",NA,"bahama yellowthroat"
NA,"ALYE",NA,"Altamira Yellowthroat","Geothlypis flavovelata","GEOFLA",NA,"altamira yellowthroat"
NA,"COYE",NA,"Common Yellowthroat","Geothlypis trichas","GEOTRI",NA,"common yellowthroat"
NA,"HOYE",NA,"Hooded Yellowthroat","Geothlypis nelsoni","GEONEL",NA,"hooded yellowthroat"
NA,"WHIW","*","Whistling Warbler","Catharopeza bishopi","CATBIS",NA,"whistling warbler"
NA,"PLUW","*","Plumbeous Warbler","Setophaga plumbea","SETPLU",NA,"plumbeous warbler"
NA,"EWWA",NA,"Elfin-woods Warbler","Setophaga angelae","SETANG",NA,"elfin woods warbler"
