"","ModernName","Year","arrival"
"431","spotted sandpiper",2013,2013-04-23
"432","spotted sandpiper",2014,2014-05-06
"433","spotted sandpiper",2015,2015-05-08
"434","summer tanager",2015,2015-05-08
"435","swainsons thrush",2012,2012-05-19
"436","swainsons thrush",2013,2013-05-10
"437","swainsons thrush",2014,2014-04-22
"438","swainsons thrush",2015,2015-04-06
"439","swamp sparrow",2013,2013-03-26
"440","swamp sparrow",2014,2014-04-10
"441","swamp sparrow",2015,2015-04-06
"442","tennessee warbler",2013,2013-05-15
"443","tree swallow",2012,2012-05-16
"444","tree swallow",2013,2013-04-05
"445","tree swallow",2015,2015-04-24
"446","veery",2013,2013-05-10
"447","veery",2014,2014-05-13
"448","veery",2015,2015-05-06
"449","vesper sparrow",2013,2013-04-15
"450","vesper sparrow",2015,2015-04-16
"451","virginia rail",2013,2013-04-15
"452","warbling vireo",2012,2012-05-08
"453","warbling vireo",2013,2013-05-08
"454","warbling vireo",2014,2014-05-07
"455","warbling vireo",2015,2015-05-07
"456","white breasted nuthatch",2013,2013-03-04
"457","white breasted nuthatch",2015,2015-03-04
"458","white crowned sparrow",2012,2012-04-30
"459","white crowned sparrow",2013,2013-03-02
"460","white crowned sparrow",2014,2014-04-29
"461","white crowned sparrow",2015,2015-04-10
"462","white throated sparrow",2012,2012-04-23
"463","white throated sparrow",2013,2013-04-15
"464","white throated sparrow",2014,2014-04-09
"465","white throated sparrow",2015,2015-03-19
"466","willow flycatcher",2012,2012-05-18
"467","willow flycatcher",2013,2013-05-15
"468","willow flycatcher",2014,2014-05-12
"469","willow flycatcher",2015,2015-05-08
"470","wilsons warbler",2012,2012-05-14
"471","wilsons warbler",2013,2013-05-08
"472","wilsons warbler",2014,2014-05-13
"473","wilsons warbler",2015,2015-05-06
"474","winter wren",2013,2013-04-19
"475","winter wren",2015,2015-03-31
"476","wood duck",2012,2012-03-16
"477","wood duck",2013,2013-03-04
"478","wood duck",2014,2014-03-13
"479","wood duck",2015,2015-03-09
"480","wood thrush",2013,2013-04-30
"481","wood thrush",2014,2014-05-02
"482","wood thrush",2015,2015-05-04
"483","yellow bellied flycatcher",2012,2012-05-10
"484","yellow bellied flycatcher",2013,2013-05-19
"485","yellow bellied flycatcher",2014,2014-05-06
"486","yellow bellied flycatcher",2015,2015-05-16
"487","yellow bellied sapsucker",2013,2013-04-05
"488","yellow bellied sapsucker",2014,2014-03-28
"489","yellow bellied sapsucker",2015,2015-04-03
"490","yellow billed cuckoo",2013,2013-05-15
"491","yellow breasted chat",2013,2013-05-20
"492","yellow breasted chat",2014,2014-05-13
"493","yellow rumped warbler",2012,2012-04-20
"494","yellow rumped warbler",2013,2013-04-08
"495","yellow rumped warbler",2014,2014-04-15
"496","yellow rumped warbler",2015,2015-04-10
"497","yellow throated vireo",2012,2012-05-13
"498","yellow throated vireo",2013,2013-05-10
"499","yellow throated vireo",2015,2015-05-09
"500","yellow throated warbler",2014,2014-04-30
"501","yellow warbler",2012,2012-05-10
"502","yellow warbler",2013,2013-04-30
"503","yellow warbler",2014,2014-04-29
"504","yellow warbler",2015,2015-05-01
