"","CommonName","Year","ArrivalDate","ob","ArrivalDateJulian"
"381","dark eyed junco","1898",1898-03-09,"Walter",68
"382","dark eyed junco","1899",1899-03-14,"Walter",73
"383","dark eyed junco","1900",1900-03-23,"Walter",82
"384","dark eyed junco","1901",1901-03-18,"Walter",77
"385","dark eyed junco","1902",1902-03-08,"Walter",67
"386","dark eyed junco","1903",1903-03-13,"Walter",72
"387","indigo bunting","1899",1899-05-10,"Walter",130
"388","indigo bunting","1900",1900-05-21,"Walter",141
"389","indigo bunting","1901",1901-05-10,"Walter",130
"390","indigo bunting","1902",1902-05-02,"Walter",122
"391","indigo bunting","1903",1903-05-06,"Walter",126
"392","house wren","1898",1898-05-04,"Walter",124
"393","house wren","1899",1899-04-30,"Walter",120
"394","house wren","1901",1901-04-21,"Walter",111
"395","house wren","1902",1902-04-23,"Walter",113
"396","house wren","1903",1903-04-12,"Walter",102
"397","hermit thrush","1899",1899-04-11,"Walter",101
"398","hermit thrush","1900",1900-04-07,"Walter",97
"399","hermit thrush","1901",1901-04-05,"Walter",95
"400","hermit thrush","1902",1902-04-13,"Walter",103
"401","hermit thrush","1903",1903-03-19,"Walter",78
"402","henslows sparrow","1899",1899-04-26,"Walter",116
"403","henslows sparrow","1900",1900-04-21,"Walter",111
"404","henslows sparrow","1901",1901-04-30,"Walter",120
"405","henslows sparrow","1902",1902-04-24,"Walter",114
"406","henslows sparrow","1903",1903-04-15,"Walter",105
"407","hairy woodpecker","1899",1899-05-24,"Walter",144
"408","hairy woodpecker","1900",1900-04-19,"Walter",109
"409","hairy woodpecker","1902",1902-03-25,"Walter",84
"410","hairy woodpecker","1903",1903-03-06,"Walter",65
"411","northern waterthrush","1899",1899-04-28,"Walter",118
"412","northern waterthrush","1900",1900-04-23,"Walter",113
"413","northern waterthrush","1901",1901-04-17,"Walter",107
"414","northern waterthrush","1902",1902-04-21,"Walter",111
"415","northern waterthrush","1903",1903-04-29,"Walter",119
"416","great crested flycatcher","1899",1899-04-30,"Walter",120
"417","great crested flycatcher","1901",1901-05-11,"Walter",131
"418","great crested flycatcher","1902",1902-04-21,"Walter",111
"419","great crested flycatcher","1903",1903-04-29,"Walter",119
"420","gray cheeked thrush","1903",1903-05-11,"Walter",131
"421","golden crowned kinglet","1898",1898-03-14,"Walter",73
"422","golden crowned kinglet","1899",1899-04-11,"Walter",101
"423","golden crowned kinglet","1900",1900-04-06,"Walter",96
"424","golden crowned kinglet","1901",1901-04-05,"Walter",95
"425","golden crowned kinglet","1902",1902-03-28,"Walter",87
"426","golden crowned kinglet","1903",1903-03-19,"Walter",78
"427","fox sparrow","1898",1898-03-30,"Walter",89
"428","fox sparrow","1899",1899-03-14,"Walter",73
"429","fox sparrow","1900",1900-04-05,"Walter",95
"430","fox sparrow","1901",1901-03-18,"Walter",77
"431","fox sparrow","1902",1902-03-10,"Walter",69
"432","fox sparrow","1903",1903-03-17,"Walter",76
"433","northern flicker","1898",1898-03-25,"Walter",84
"434","northern flicker","1899",1899-04-11,"Walter",101
"435","northern flicker","1900",1900-04-07,"Walter",97
"436","northern flicker","1901",1901-03-23,"Walter",82
"437","northern flicker","1902",1902-03-24,"Walter",83
"438","northern flicker","1903",1903-03-18,"Walter",77
"439","field sparrow","1900",1900-04-17,"Walter",107
"440","field sparrow","1901",1901-04-05,"Walter",95
"441","field sparrow","1902",1902-03-11,"Walter",70
"442","field sparrow","1903",1903-03-19,"Walter",78
"443","downy woodpecker","1898",1898-04-08,"Walter",98
"444","downy woodpecker","1899",1899-03-27,"Walter",86
"445","downy woodpecker","1900",1900-04-25,"Walter",115
"446","downy woodpecker","1901",1901-04-05,"Walter",95
"447","downy woodpecker","1902",1902-03-10,"Walter",69
"448","downy woodpecker","1903",1903-03-06,"Walter",65
"449","dickcissel","1902",1902-05-18,"Walter",138
"450","american crow","1899",1899-03-26,"Walter",85
"451","american crow","1900",1900-03-12,"Walter",71
"452","american crow","1901",1901-03-03,"Walter",62
"453","american crow","1902",1902-03-06,"Walter",65
"454","american crow","1903",1903-03-08,"Walter",67
"455","brown headed cowbird","1898",1898-03-16,"Walter",75
"456","brown headed cowbird","1899",1899-04-10,"Walter",100
"457","brown headed cowbird","1900",1900-04-01,"Walter",91
"458","brown headed cowbird","1901",1901-03-19,"Walter",78
