"ID","BooksCommonName","Date"
502,"Canadian Warbler",5/12/1903 0:00:00
503,"Brown Thrasher",4/24/1898 0:00:00
504,"Brown Thrasher",4/27/1899 0:00:00
505,"Brown Thrasher",4/16/1900 0:00:00
506,"Brown Thrasher",4/24/1901 0:00:00
507,"Brown Thrasher",4/22/1902 0:00:00
508,"Brown Thrasher",4/12/1903 0:00:00
509,"Brown Creeper",4/7/1898 0:00:00
510,"Brown Creeper",4/6/1899 0:00:00
511,"Brown Creeper",4/2/1900 0:00:00
512,"Brown Creeper",4/4/1901 0:00:00
513,"Brown Creeper",3/21/1902 0:00:00
514,"Brown Creeper",3/18/1903 0:00:00
515,"Bronzed Grackle",3/14/1898 0:00:00
516,"Bronzed Grackle",3/20/1899 0:00:00
517,"Bronzed Grackle",3/24/1900 0:00:00
518,"Bronzed Grackle",3/23/1901 0:00:00
519,"Bronzed Grackle",3/10/1902 0:00:00
520,"Bronzed Grackle",3/14/1903 0:00:00
521,"Bobolink",5/8/1900 0:00:00
522,"Bobolink",5/4/1901 0:00:00
523,"Bobolink",5/12/1902 0:00:00
524,"Bobolink",5/8/1903 0:00:00
525,"Blue-headed Vireo",5/5/1901 0:00:00
526,"Blue-headed Vireo",5/2/1902 0:00:00
527,"Blue-headed Vireo",5/8/1903 0:00:00
528,"Blue-gray Gnatcatcher",4/22/1899 0:00:00
529,"Blue-gray Gnatcatcher",4/18/1900 0:00:00
530,"Blue-gray Gnatcatcher",4/28/1901 0:00:00
531,"Blue-gray Gnatcatcher",4/22/1902 0:00:00
532,"Blue-gray Gnatcatcher",4/25/1903 0:00:00
533,"Bluebird",3/8/1898 0:00:00
534,"Bluebird",4/4/1899 0:00:00
535,"Bluebird",3/31/1900 0:00:00
536,"Bluebird",3/17/1901 0:00:00
537,"Bluebird",3/7/1902 0:00:00
538,"Bluebird",3/7/1903 0:00:00
539,"Blue Golden-winged WarblerBlue Golden-winged Warbler",5/2/1902 0:00:00
540,"Blue Golden-winged Warbler",5/12/1900 0:00:00
541,"Blue Golden-winged Warbler",5/12/1901 0:00:00
542,"Black-throated Green Warbler",5/17/1898 0:00:00
543,"Black-throated Green Warbler",4/23/1899 0:00:00
544,"Black-throated Green Warbler",4/27/1900 0:00:00
545,"Black-throated Green Warbler",4/26/1901 0:00:00
546,"Black-throated Green Warbler",4/28/1902 0:00:00
547,"Black-throated Green Warbler",5/2/1903 0:00:00
548,"Black-throated Blue Warbler",5/11/1898 0:00:00
